scope,period,period_start,period_end,eligible_trip_count,total_route_distance_m,controlled_access_share,arterial_share,local_access_share,major_corridor_roads,motorway_share,trunk_share,primary_share,secondary_share,tertiary_share,residential_share,service_share,unclassified_share,other_share,origin_cluster_id,origin_label,destination_cluster_id,destination_label,pair_total_eligible_trips,pair_observed_months
major_direct_od_pair,middle,2022-08,2023-08,46,76208.44684204676,0.0,0.3386714813154933,0.6613285186845068,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.33561024806122924,0.0030612332542640426,0.0,0.4407169167689767,0.22061160191553011,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C002,Coconut Creek Plaza short-stop area,124.0,30.0
major_direct_od_pair,late,2023-09,2024-06,39,63963.858460480136,0.0,0.34576326282655107,0.654236737173449,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.3343745277735699,0.011388735052981172,0.0,0.45192123582072474,0.20231550135272428,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C002,Coconut Creek Plaza short-stop area,124.0,30.0
major_direct_od_pair,early,2021-09,2022-07,32,50427.08273765626,0.0,0.3695483086437699,0.6304516913562301,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.3263340426333936,0.043214266010376284,0.0,0.4024596914936745,0.22799199986255558,0.0,0.0,C002,Coconut Creek Plaza short-stop area,C001,"Wynmoor area, Coconut Creek",120.0,29.0
major_direct_od_pair,middle,2022-08,2023-08,51,81993.43571022496,0.0,0.32544520739164895,0.6745547926083512,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.3060202866826929,0.01942492070895605,0.0,0.43654384247613615,0.23801095013221493,0.0,0.0,C002,Coconut Creek Plaza short-stop area,C001,"Wynmoor area, Coconut Creek",120.0,29.0
major_direct_od_pair,late,2023-09,2024-06,37,56568.86772845622,0.0,0.3185303329930089,0.6814696670069911,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.30746704851624546,0.011063284476763479,0.0,0.4373315328200936,0.24413813418689748,0.0,0.0,C002,Coconut Creek Plaza short-stop area,C001,"Wynmoor area, Coconut Creek",120.0,29.0
major_direct_od_pair,early,2021-09,2022-07,40,302902.9998117446,0.0,0.7625464522826872,0.23745354771731264,"[{'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.0,0.7595278165295781,0.003018635753109053,0.20614277539706036,0.0313107723202523,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C005,Multi-tenant commercial area near North Powerline Road / South Powerline Road / South Pompano Parkway,86.0,29.0
major_direct_od_pair,middle,2022-08,2023-08,26,202337.57324121488,0.0,0.7480969310365161,0.25190306896348397,"[{'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.003476968846195312,0.7446199621903207,0.0,0.22449406789253887,0.02740900107094513,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C005,Multi-tenant commercial area near North Powerline Road / South Powerline Road / South Pompano Parkway,86.0,29.0
major_direct_od_pair,late,2023-09,2024-06,20,153045.75457504787,0.0,0.7498868728880789,0.25011312711192124,"[{'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.0,0.7498868728880789,0.0,0.22588833058419017,0.024224796527731084,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C005,Multi-tenant commercial area near North Powerline Road / South Powerline Road / South Pompano Parkway,86.0,29.0
major_direct_od_pair,early,2021-09,2022-07,32,88508.61532092222,0.0,0.6591550327204196,0.3408449672795805,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.24272044441671728,0.4164345883037023,0.0,0.25214798546936446,0.08869698181021612,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C004,Multi-tenant commercial area near Coconut Creek Parkway,77.0,25.0
major_direct_od_pair,middle,2022-08,2023-08,33,92192.48581094823,0.0,0.663703789100082,0.33629621089991796,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.23667565671177065,0.4270281323883113,0.0,0.25061632492627733,0.08567988597364065,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C004,Multi-tenant commercial area near Coconut Creek Parkway,77.0,25.0
